from_stop_id,to_stop_id,transfer_type,min_transfer_time
30008,41542,0,
41542,30008,0,
30010,30011,0,
30011,30010,0,
30010,30013,0,
30013,30010,0,
30010,30019,0,
30019,30010,0,
30010,30020,0,
30020,30010,0,
30010,30523,0,
30523,30010,0,
30010,41542,0,
41542,30010,0,
30011,30013,0,
30013,30011,0,
30011,30019,0,
30019,30011,0,
30011,30020,0,
30020,30011,0,
30011,30523,0,
30523,30011,0,
30011,41542,0,
41542,30011,0,
30013,30019,0,
30019,30013,0,
30013,30020,0,
30020,30013,0,
30013,30523,0,
30523,30013,0,
30013,41542,0,
41542,30013,0,
30019,30020,0,
30020,30019,0,
30019,30523,0,
30523,30019,0,
30019,41542,0,
41542,30019,0,
30020,30523,0,
30523,30020,0,
30020,41542,0,
41542,30020,0,
30523,41542,0,
41542,30523,0,
14499,6369,0,
6369,14499,0,
14499,26197,0,
26197,14499,0,
14499,26240,0,
26240,14499,0,
14499,26242,0,
26242,14499,0,
14499,26263,0,
26263,14499,0,
14499,28325,0,
28325,14499,0,
14499,28332,0,
28332,14499,0,
14499,28387,0,
28387,14499,0,
14499,28389,0,
28389,14499,0,
14499,28391,0,
28391,14499,0,
14499,28392,0,
28392,14499,0,
14499,28393,0,
28393,14499,0,
6369,26197,0,
26197,6369,0,
6369,26240,0,
26240,6369,0,
6369,26242,0,
26242,6369,0,
6369,26263,0,
26263,6369,0,
6369,28325,0,
28325,6369,0,
6369,28332,0,
28332,6369,0,
6369,28387,0,
28387,6369,0,
6369,28389,0,
28389,6369,0,
6369,28391,0,
28391,6369,0,
6369,28392,0,
28392,6369,0,
6369,28393,0,
28393,6369,0,
26197,26240,0,
26240,26197,0,
26197,26242,0,
26242,26197,0,
26197,26263,0,
26263,26197,0,
26197,28325,0,
28325,26197,0,
26197,28332,0,
28332,26197,0,
26197,28387,0,
28387,26197,0,
26197,28389,0,
28389,26197,0,
26197,28391,0,
28391,26197,0,
26197,28392,0,
28392,26197,0,
26197,28393,0,
28393,26197,0,
26240,26242,0,
26242,26240,0,
26240,26263,0,
26263,26240,0,
26240,28325,0,
28325,26240,0,
26240,28332,0,
28332,26240,0,
26240,28387,0,
28387,26240,0,
26240,28389,0,
28389,26240,0,
26240,28391,0,
28391,26240,0,
26240,28392,0,
28392,26240,0,
26240,28393,0,
28393,26240,0,
26242,26263,0,
26263,26242,0,
26242,28325,0,
28325,26242,0,
26242,28332,0,
28332,26242,0,
26242,28387,0,
28387,26242,0,
26242,28389,0,
28389,26242,0,
26242,28391,0,
28391,26242,0,
26242,28392,0,
28392,26242,0,
26242,28393,0,
28393,26242,0,
26263,28325,0,
28325,26263,0,
26263,28332,0,
28332,26263,0,
26263,28387,0,
28387,26263,0,
26263,28389,0,
28389,26263,0,
26263,28391,0,
28391,26263,0,
26263,28392,0,
28392,26263,0,
26263,28393,0,
28393,26263,0,
28325,28332,0,
28332,28325,0,
28325,28387,0,
28387,28325,0,
28325,28389,0,
28389,28325,0,
28325,28391,0,
28391,28325,0,
28325,28392,0,
28392,28325,0,
28325,28393,0,
28393,28325,0,
28332,28387,0,
28387,28332,0,
28332,28389,0,
28389,28332,0,
28332,28391,0,
28391,28332,0,
28332,28392,0,
28392,28332,0,
28332,28393,0,
28393,28332,0,
28387,28389,0,
28389,28387,0,
28387,28391,0,
28391,28387,0,
28387,28392,0,
28392,28387,0,
28387,28393,0,
28393,28387,0,
28389,28391,0,
28391,28389,0,
28389,28392,0,
28392,28389,0,
28389,28393,0,
28393,28389,0,
28391,28392,0,
28392,28391,0,
28391,28393,0,
28393,28391,0,
28392,28393,0,
28393,28392,0,
25427,8727,0,
8727,25427,0,
14515,8983,0,
8983,14515,0,
14515,9899,0,
9899,14515,0,
14515,32966,0,
32966,14515,0,
14515,33146,0,
33146,14515,0,
14515,33228,0,
33228,14515,0,
14515,33283,0,
33283,14515,0,
14515,41622,0,
41622,14515,0,
8983,9899,0,
9899,8983,0,
8983,32966,0,
32966,8983,0,
8983,33146,0,
33146,8983,0,
8983,33228,0,
33228,8983,0,
8983,33283,0,
33283,8983,0,
8983,41622,0,
41622,8983,0,
9899,32966,0,
32966,9899,0,
9899,33146,0,
33146,9899,0,
9899,33228,0,
33228,9899,0,
9899,33283,0,
33283,9899,0,
9899,41622,0,
41622,9899,0,
32966,33146,0,
33146,32966,0,
32966,33228,0,
33228,32966,0,
32966,33283,0,
33283,32966,0,
32966,41622,0,
41622,32966,0,
33146,33228,0,
33228,33146,0,
33146,33283,0,
33283,33146,0,
33146,41622,0,
41622,33146,0,
33228,33283,0,
33283,33228,0,
33228,41622,0,
41622,33228,0,
33283,41622,0,
41622,33283,0,
14415,9385,0,
9385,14415,0,
14415,9397,0,
9397,14415,0,
14415,25681,0,
25681,14415,0,
14415,25682,0,
25682,14415,0,
9385,9397,0,
9397,9385,0,
9385,25681,0,
25681,9385,0,
9385,25682,0,
25682,9385,0,
9397,25681,0,
25681,9397,0,
9397,25682,0,
25682,9397,0,
25681,25682,0,
25682,25681,0,
41809,25378,0,
25378,41809,0,
41813,25380,0,
25380,41813,0,
41816,25383,0,
25383,41816,0,
41818,25384,0,
25384,41818,0,
41820,25385,0,
25385,41820,0,
41772,25386,0,
25386,41772,0,
41823,25387,0,
25387,41823,0,
41774,25388,0,
25388,41774,0,
26093,25391,0,
25391,26093,0,
26095,25392,0,
25392,26095,0,
26099,25393,0,
25393,26099,0,
26106,25394,0,
25394,26106,0,
26108,25395,0,
25395,26108,0,
26094,25396,0,
25396,26094,0,
26121,25398,0,
25398,26121,0,
26118,25399,0,
25399,26118,0,
26113,25400,0,
25400,26113,0,
26120,25402,0,
25402,26120,0,
26112,25403,0,
25403,26112,0,
14604,25415,0,
25415,14604,0,
14604,25686,0,
25686,14604,0,
25415,25686,0,
25686,25415,0,
41754,25416,0,
25416,41754,0,
25420,25417,0,
25417,25420,0,
14590,25419,0,
25419,14590,0,
43339,25423,0,
25423,43339,0,
47577,25441,0,
25441,47577,0,
47576,25442,0,
25442,47576,0,
47565,25443,0,
25443,47565,0,
47566,25445,0,
25445,47566,0,
47578,25447,0,
25447,47578,0,
47579,25448,0,
25448,47579,0,
47554,25454,0,
25454,47554,0,
47555,25456,0,
25456,47555,0,
47552,25461,0,
