stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
9385,180989,"Av. Pres. Arthur da S. Bernardes, 631 - Portão","Tubo Santa Quitéria (Av. Pres. Arthur da S. Bernardes, 631 ) 779 - Vila Velha / Buriti (Sentido Buriti)",-25.459154827989,-49.302285422073,,,0,14415,,
9397,180990,"Av. Pres. Arthur da S. Bernardes, 631 - Portão","Tubo Santa Quitéria (Av. Pres. Arthur da S. Bernardes, 631) 779 - Vila Velha / Buriti (Sentido Vila Velha)",-25.458990216184,-49.30234107791,,,0,14415,,
9412,180778,"Rua Aírton Greifo, 138- Campo Comprido",777 - V. Velha (Ponto Final) 779 - V. Velha / Buriti (Ponto Final - Vila Velha),-25.462360734113,-49.337683320867,,,0,,,
9620,190069,"Rua Hermenegildo Luca, 4124 - São Braz",812 - Montana (Ponto Final) 876 - Savóia (Ponto Final).,-25.409245409007,-49.36080217424,,,0,,,
9844,180376,"Rua Ângelo Marqueto, 2318 - Cidade Industrial",825 - V.Marqueto (Ponto Final),-25.478555182551,-49.375604717791,,,0,,,
9899,105008,Terminal Caiuá - 826 - Campo Comprido / CIC - 732 Campo Comprido / Caiuá,732 - Caiuá / Campo Comprido (Sentido Campo Comprido) 826 - Campo Comprido / CIC (Sentido Campo Comprido),-25.483566923709,-49.350309871164,,,0,14515,,
10005,190358,"Rua Casemiro Augusto Rodacki, 233 - Cidade Industrial",829 - Univ. Positivo (Sentido Circular e Ponto Final),-25.4444935,-49.3589673,,,0,,,
10070,180567,"Rua Elzira Alves Lourenço, 25 - Cidade Industrial",860 - V. Sandra (Ponto Final),-25.464068664938,-49.340141704299,,,0,,,
10120,180658,"Rua Luís Casagrande, 363 - Cidade Industrial",861 - Tramontina (Ponto Final).,-25.462615625929,-49.348413007865,,,0,,,
10151,180578,"Rua Deputado Nilson Ribas, 597 - Seminário",865 - Jd. Esplanada (Sentido Praça Tiradentes),-25.444502,-49.3112028,,,0,,,
10320,101004,Praça Tiradentes - 876 - Savóia,Praça Tiradentes -876 - Savóia,-25.430119444658,-49.272456604299,,,0,,,
10484,190399,"Estrada Ângelo Pianaro, 1804 - Butiatuvinha",913 - Butiatuvinha (Ponto Final) 948 - Butiatuvinha / Ouro Verde,-25.399340893476,-49.365383687732,,,0,,,
10562,190451,"Rua Vanda Wolf, 1575 - Santa Felicidade",916 - Pinheiros (Ponto Final) 917 - Jd. Ipê (Sentido Jardim Ipê) 928 - Passaúna / Jd. Ipê 989 - Madrugueiro Santa Felicidade (Sentido Santa Felicidade),-25.372273111417,-49.330314811045,,,0,,,
10588,190450,"Rua Doutor Eugênio Bertolli, 28 - Santa Felicidade",917 - Jardim Ipê 928 - Passaúna / Jd.Ipê,-25.368758499469,-49.326577945404,,,0,,,
10811,190539,"Rua Itália Giampoli Amatuzzi, 4 - Vista Alegre",967 - Julio Graf (Ponto Final),-25.399549902687,-49.299254920307,,,0,,,
10840,190526,Rua José Casagrande 802 Curitiba - PR,967 - Julio Graf (Sentido Pça. Tiradentes),-25.409815845474,-49.303871184061,,,0,,,
10898,110158,"Rua Visconde de Nácar, 1224 - Centro",385 - Cristo Rei (Ponto Final) 989 - Madrugueiro Santa Felicidade (Sentido Praça Rui Barbosa),-25.434953121675,-49.275977109013,,,0,,,
14298,140763,"Rua Zacarias Gomes de Souza,1556 - Uberaba",X14 - Reforço Hauer (Ponto Final) 188 - Madrugueiro Pilarzinho / Uberaba (Sentido Pilarzinho) 338 - Centenário / Hauer (Sentido Hauer) 468 - Jd. Centauro (Sentido Praça Rui Barbosa) 474 - Jd. Itibere (Sentido Praça Rui Barbosa),-25.492461684207,-49.20777155124,,,0,,,
14404,140256,"Rua Vicente de Carvalho, 230 - Cajuru",Z03 - Vic. de Carvalho/C. da Imbuia (Ponto Final) 050-Interbairros V (Sentido Terminal Oficinas),-25.452238019421,-49.224005114418,,,0,,,
14415,null,Estação Tubo Santa Quitéria,,-25.459127575972,-49.30243629633,,,1,,,
14432,null,Estação Tubo Mercês,,-25.422391025401,-49.291634507726,,,1,,,
14434,null,Estação Tubo Centro Cívico - Palácio Iguaçú,,-25.415392265191,-49.267910368989,,,1,,,
14470,null,Terminal Santa Cândida,,-25.377073433216,-49.224360178147,,,1,,,
14471,null,Terminal Boa Vista,,-25.393294577886,-49.24105091786,,,1,,,
14474,null,Terminal Cabral,,-25.4066589,-49.2527914,,,1,,,
14476,null,Terminal Bairro Alto,,-25.413046936459,-49.205480354393,,,1,,,
14478,null,Terminal Capão da Imbuia,,-25.4399803,-49.2218581,,,1,,,
14481,null,Terminal Oficinas,,-25.451504600604,-49.214964225725,,,1,,,
14483,null,Terminal Centenário,,-25.469004454165,-49.208112189549,,,1,,,
14485,null,Terminal Carmo,,-25.501302655486,-49.237642198811,,,1,,,
14487,null,Terminal Hauer,,-25.481926661231,-49.24699894184,,,1,,,
14489,null,Terminal Boqueirão,,-25.516774778393,-49.230441030758,,,1,,,
14492,null,Terminal Sítio Cercado,,-25.534210663544,-49.267866322089,,,1,,,
14494,null,Terminal Pinheirinho,,-25.512487353173,-49.295048108598,,,1,,,
14497,null,Terminal Capão Raso,,-25.4920013,-49.2936865,,,1,,,
14499,null,Terminal Portão,,-25.4763353,-49.2926288,,,1,,,
14503,null,Terminal CIC,,-25.511654050551,-49.324538920807,,,1,,,
14506,null,Terminal Campina do Siqueira,,-25.436086,-49.3075959,,,1,,,
14508,null,Terminal Campo Comprido,,-25.44161403436,-49.346739524467,,,1,,,
14510,null,Terminal Santa Felicidade,,-25.400933329298,-49.330278803041,,,1,,,
14512,null,Terminal Fazendinha,,-25.477340112433,-49.327037532472,,,1,,,
14515,null,Terminal Caiuá,,-25.483723977821,-49.350160437586,,,1,,,
14517,null,Terminal Barreirinha,,-25.377432367018,-49.262446388955,,,1,,,
14524,null,Terminal Pinhais,,-25.440034804924,-49.182830990144,,,1,,,
14553,null,Estação Tubo Praça Eufrásio Correia,Praça Eufrásio Correia - Santa Cândida / Centenário / Pinhais,-25.437655220405,-49.266631957104,,,1,,,
14555,null,Estação Tubo Paiol,,-25.448163570983,-49.258018546182,,,1,,,
14560,null,Estação Tubo Centro Cívico - Assembléia,,-25.415623625647,-49.266385533164,,,1,,,
14562,null,Estação Tubo Prefeitura,,-25.417883882142,-49.268461562942,,,1,,,
14564,null,Estação Tubo Prefeitura,X35 - Pinheirinho / Prefeitura 505 - Boqueirão / C. Cívico 702 - Caiuá / Cachoeira,-25.417836229767,-49.268692016949,,,1,,,
14567,null,Estação Tubo Comendador Fontana,Estação Tubo Comendador Fontana.,-25.419799270208,-49.268911958088,,,1,,,
14570,null,Estação Tubo Comendador Fontana,X35 - Pinheirinho / Prefeitura 210 - CIC / Cabral 256 - Barreirinha / Guadalupe 505 - Boqueirão / C. Cívico 607 - Colombo / CIC 700 - Pinheirinho / Cabral,-25.419752884145,-49.269125193705,,,1,,,
14586,null,Estação Tubo Xaxim,,-25.496650022191,-49.276237070909,,,1,,,
14590,null,Estação Tubo Santa Bernadethe,,-25.485227248942,-49.266811788431,,,1,,,
14594,null,Estação Tubo Fanny,Estação Tubo Fanny 560 - Alferes Poli 550 - Ligeirão Pinheirinho / C. Gomes B42 - Maracanã / L. Verde,-25.474933728298,-49.258503646008,,,1,,,
14598,null,Estação Tubo Marechal Floriano,,-25.469102285196,-49.254012287013,,,1,,,
14600,null,Estação Tubo Marechal Floriano,,-25.469230626999,-49.253812462441,,,1,,,
14604,null,Estação Tubo Detran,,-25.430373087727,-49.211228442189,,,1,,,
14606,null,Estação Tubo Colégio Militar,,-25.428899094657,-49.225104850528,,,1,,,
25378,108002,Estação Tubo Joaquim Nabuco,Estação Tubo Joaquim Nabuco - Sentido Capão Raso 203 - Sta. Candida / C. Raso,-25.380727998652,-49.228829736389,,,0,41809,,
25380,108006,Estação Tubo Antônio Lago,Estação Tubo Antônio Lago - Capão Raso 203 - Sta. Candida / C. Raso,-25.388780237354,-49.236226186568,,,0,41813,,
25383,108012,Estação Tubo Antônio Cavalheiros,Estação Tubo Antônio Cavalheiros - Capão Raso 202 - Cabral / C. Raso 203 - Sta. Candida / C. Raso,-25.403501586783,-49.249864792933,,,0,41816,,
25384,108014,Estação Tubo Bom Jesus,Estação Tubo Bom Jesus - Capão Raso 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso,-25.410093244956,-49.255935977351,,,0,41818,,
25385,108016,Estação Tubo Moisés Marcondes,Estação Tubo Moisés Marcondes - Capão Raso 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso,-25.413370782272,-49.258952961887,,,0,41820,,
25386,109146,Estação Tubo Constantino Marochi,Estação Tubo Constantino Marochi - Sentido Terminal Capão Raso 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso,-25.416066058281,-49.26150706627,,,0,41772,,
25387,108020,Estação Tubo Maria Clara,Estação Tubo Maria Clara - Capão Raso 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso,-25.419901596561,-49.265101084072,,,0,41823,,
25388,108022,Estação Tubo Passeio Público,Estação Tubo Passeio Público - Sentido Capão Raso / Pça. do Japão 250 - Ligeirão Norte/Sul 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso,-25.423876886501,-49.268388973076,,,0,41774,,
25391,108032,Estação Tubo Praça Oswaldo Cruz,Estação Tubo Praça Oswaldo Cruz - Pinheirinho / Capão Raso 250 - Ligeirão Norte/Sul 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa,-25.441600910618,-49.277095755077,,,0,26093,,
25392,108034,Estação Tubo Coronel Dulcídio,Estação Tubo Coronel Dulcídio - Pinheirinho / Capão Raso 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa,-25.443372665226,-49.281736143522,,,0,26095,,
25393,108036,Estação Tubo Bento Viana,Estação Tubo Bento Viana - Pinheirinho / Capão Raso 250 - Ligeirão Norte/Sul 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.4448158457,-49.285595177088,,,0,26099,,
25394,108038,Estação Tubo Silva Jardim,Estação Tubo Silva Jardim - Pinheirinho / Capão Raso 200 - Ligeirão Sta. Candida / Pça. Do Japão 202 - Cabral / C. Raso 203 - Sta. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.448330003815,-49.287868593254,,,0,26106,,
25395,108040,Estação Tubo Petit Carneiro,Estação Tubo Petit Carneiro - Pinheirinho / Capão Raso 200 - Ligeirão STA. Candida / PÇA do Japão 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.453385605323,-49.28791478079,,,0,26108,,
25396,108042,Estação Tubo Dom Pedro I,Estação Tubo Dom Pedro I - Pinheirinho/ Capão Raso 200 - Ligeirão STA. Candida / PÇA do Japão 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.45693318,-49.28858994,,,0,26094,,
25398,108046,Estação Tubo Vital Brasil,Estação Tubo Vital Brasil - Pinheirinho / Capão Raso 200 - Ligeirão Sta. Candida / Pça. Do Japão 202 - Cabral / C. Raso 203 - Sta. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.464674152028,-49.291327389882,,,0,26121,,
25399,108048,Estação Tubo Morretes,Estação Tubo Morretes - Pinheirinho / Capão Raso 200 - Ligeirão STA. Candida / PÇA do Japão 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.467829761606,-49.293399735142,,,0,26118,,
25400,108050,Estação Tubo Carlos Dietzsch,Estação Tubo Carlos Dietzsch - Pinheirinho / Capão Raso 200 - Ligeirão STA. Candida / PÇA do Japão 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.473439669547,-49.294344543415,,,0,26113,,
25402,108052,Estação Tubo Itajubá,Estação Tubo Itajubá - Pinheirinho / Capão Raso X20 - Portão / Sitio Cercado 200 - Ligeirão STA. Candida / PÇA do Japão 202 - Cabral / C. Raso 203 - STA. Candida / C. Raso 602 - Circular Sul (ANTI-HORÁRIO) 603 - Pinheirinho / Rui Barbosa X08 - Reforço Pinheirinho,-25.481815521522,-49.292786598616,,,0,26120,,
